,doc_id,doc_name,par_id,par,label
0,0,about.canva.com.txt.ann,0,Privacy Policy,Other
1,0,about.canva.com.txt.ann,1,Updated 25 May 2018. See previous versions of this and other policies in our Policy Archives.,Policy Change
2,0,about.canva.com.txt.ann,2,"The text to the right is aimed to give a plain English summary of our Privacy Policy. Please ensure you read the main text on the left, as the plain English summary on the right is just a summary and doesnﾡﾯt capture all of the terms.",Introductory/Generic
3,0,about.canva.com.txt.ann,3,What does this policy cover,Other
4,0,about.canva.com.txt.ann,4,"Welcome to Canva, the online and mobile service of Canva Pty Ltd (ﾡﾰCanva,ﾡﾱ ﾡﾰwe,ﾡﾱ or ﾡﾰusﾡﾱ). Our Privacy Policy explains how we collect, use, disclose, and protect information that applies to our Service, and your choices about the collection and use of your information. Capitalized terms that are not defined in this Privacy Policy have the meaning given to them in our Terms of Use.",Introductory/Generic
5,0,about.canva.com.txt.ann,5,"Welcome, here is our policy on privacy. Our privacy policy, if you will.",Introductory/Generic
6,0,about.canva.com.txt.ann,6,This policy sets out how Canva collects and uses the information that we collect about you when you use the Canva services. This policy also explains the choices that you can make about the way that we use your information.,Introductory/Generic
7,0,about.canva.com.txt.ann,7,Information we collect and its use,Other
8,0,about.canva.com.txt.ann,8,We collect the following types of information about you:,First Party Collection
9,0,about.canva.com.txt.ann,9,Information you provide us directly,First Party Collection
10,0,about.canva.com.txt.ann,10,"We may ask for certain information such as a username, your first and last name, birthdate, phone number, profession and e-mail address when you register for a Canva account, or if you correspond with us. We may also retain any messages you send through the Service, and may collect information you provide in User Content you post to the Service. We use this information to operate, maintain, and provide to you the features and functionality of the Service. We may also use this information to correspond with you, and to address any issues you raise about the Service.",First Party Collection
11,0,about.canva.com.txt.ann,11,"If you give us info about you, we will keep it and use it to provide our Service and make our service better.",First Party Collection
12,0,about.canva.com.txt.ann,12,Information we may receive from third parties,First Party Collection
13,0,about.canva.com.txt.ann,13,"We may receive information about you from third parties. For example, if you access our websites or Service through a third-party connection or log-in, for example, through Facebook Connect, by ﾡﾰfollowing,ﾡﾱ ﾡﾰliking,ﾡﾱ adding the Canva application, linking your account to the Canva Service, etc., that third party may pass certain information about your use of its service to Canva. This information could include, but is not limited to, the user ID associated with your account (for example, your Facebook UID), an access token necessary to access that service, any information that you have permitted the third party to share with us, and any information you have made public in connection with that service. You should always review, and if necessary, adjust your privacy settings on third-party websites and services before linking or connecting them to the Canva Service. You may also unlink your third party account from the Service by adjusting your settings on the third party service. If you unlink your third party account, we will no longer receive information collected about you in connection with that service.",First Party Collection
14,0,about.canva.com.txt.ann,14,"When you use our Service, third parties might give us some info about you, especially if you are signed into a third party account while using our Service.",First Party Collection
15,0,about.canva.com.txt.ann,15,Information we collect from you automatically,Other
16,0,about.canva.com.txt.ann,16,"We may directly collect analytics data, or use third-party analytics tools, to help us measure traffic and usage trends for the Service. These tools collect information sent by your browser or mobile device, including the pages you visit and other information that assists us in improving the Service.",First Party Collection
17,0,about.canva.com.txt.ann,17,To help us improve our service we keep info about how you use our service.,First Party Collection
18,0,about.canva.com.txt.ann,18,Cookies information,Other
